Class Name,Credits,Prerequisites
COMP SCI 642,3 credits.,COMP SCI 537 or graduate/professional standing or declared in the Capstone Certificate in Computer Sciences for Professionals
COMP SCI 681,3 credits.,Consent of instructor
COMP SCI 682,3 credits.,Consent of instructor
COMP SCI 691,2-3 credits.,Consent of instructor
COMP SCI 692,2-3 credits.,Consent of instructor
COMP SCI 698,1-6 credits.,Consent of instructor
COMP SCI 699,1-6 credits.,Consent of instructor
COMP SCI 701,3 credits.,Graduate/professional standing
COMP SCI 702,1-2 credits.,Consent of instructor
COMP SCI 703,3 credits.,Graduate/professional standing
COMP SCI 704,3 credits.,Graduate/professional standing
COMP SCI 706,3 credits.,Graduate/professional standing
COMP SCI/​E C E  707,3 credits.,Graduate/professional standing
COMP SCI 710,3 credits.,Graduate/professional standing
COMP SCI/​MATH  714,3 credits.,Graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program
COMP SCI/​MATH  715,3 credits.,Graduate/professional standing or member of the Pre-Masters Mathematics (Visiting International) Program
COMP SCI/​I SY E  719,3 credits.,Graduate/professional standing
COMP SCI/​B M I/​E C E/​MED PHYS  722,3 credits.,Graduate/professional standing
COMP SCI/​I SY E  723,3 credits.,Graduate/professional standing
COMP SCI/​I SY E/​MATH/​STAT  726,3 credits.,Graduate/professional standing
COMP SCI/​I SY E  727,3 credits.,Graduate/professional standing
COMP SCI/​I SY E/​MATH  728,3 credits.,Graduate/professional standing
COMP SCI/​I SY E/​MATH  730,3 credits.,STAT/​COMP SCI/​I SY E/​MATH  726
COMP SCI 736,3 credits.,Graduate/professional standing
COMP SCI 739,3 credits.,COMP SCI 736
COMP SCI 740,3 credits.,Graduate/professional standing
COMP SCI 744,3 credits.,Graduate/professional standing
COMP SCI/​E C E  750,3 credits.,Graduate/professional standing
COMP SCI/​E C E  752,3 credits.,Graduate/professional standing
COMP SCI/​E C E  755,3 credits.,Graduate/professional standing
COMP SCI/​E C E  756,3 credits.,Graduate/professional standing
COMP SCI/​E C E  757,3 credits.,Graduate/professional standing
COMP SCI 758,3 credits.,Graduate/professional standing
COMP SCI/​E C E/​E M A/​E P/​M E  759,3 credits.,Graduate/professional standing
COMP SCI/​E C E  760,3 credits.,Graduate/professional standing
COMP SCI/​E C E  761,3 credits.,Graduate/professional standing
COMP SCI 762,3 credits.,E C E/​COMP SCI  760
COMP SCI 763,3 credits.,Graduate/professional standing
COMP SCI 764,3 credits.,Graduate/professional standing
COMP SCI 765,3 credits.,Graduate/professional standing
COMP SCI/​E C E  766,3 credits.,Graduate/professional standing
COMP SCI/​B M I  767,3 credits.,Graduate/professional standing
COMP SCI 769,3 credits.,Graduate/professional standing
COMP SCI/​ED PSYCH/​PSYCH  770,3 credits.,Graduate/professional standing
COMP SCI/​B M I  771,3 credits.,Graduate/professional standing
COMP SCI/​B M I  775,3 credits.,Graduate/professional standing
COMP SCI/​B M I  776,3 credits.,Graduate/professional standing
COMP SCI/​E C E  782,3 credits.,Graduate/professional standing
COMP SCI 784,3 credits.,Graduate/professional standing
COMP SCI 787,3 credits.,Graduate/professional standing
COMP SCI 790,1-9 credits.,Consent of instructor
COMP SCI 799,1-9 credits.,Graduate/professional standing
COMP SCI 809,3 credits.,Graduate/professional standing
COMP SCI 812,3 credits.,Graduate/professional standing
COMP SCI 838,1-3 credits.,Graduate/professional standing
COMP SCI 839,3 credits.,Graduate/professional standing
COMP SCI/​B M I/​PSYCH  841,3 credits.,Graduate/professional standing
COMP SCI/​E C E/​STAT  861,3 credits.,E C E/​COMP SCI  761 or E C E 830
COMP SCI 880,3 credits.,Graduate/professional standing
COMP SCI 899,1-9 credits.,Consent of instructor
COMP SCI 900,0-1 credits.,Consent of instructor
COMP SCI/​B M E/​B M I/​BIOCHEM/​CBE/​GENETICS  915,1 credit.,Consent of instructor
COMP SCI 990,1-6 credits.,Consent of instructor
COMP SCI 999,1-6 credits.,Consent of instructor
